report_date,US$1,SDR1
1981-01-02,0.786322,1.271740
1981-01-05,0.781833,1.279050
1981-01-06,0.777435,1.286280
1981-01-07,0.778986,1.283720
1981-01-08,0.782939,1.277240
1981-01-09,0.784116,1.275320
1981-01-12,0.785398,1.273240
1981-01-13,0.790018,1.265790
1981-01-14,0.788189,1.268730
1981-01-15,0.788795,1.267760
1981-01-16,0.790531,1.264970
1981-01-19,0.787438,1.269940
1981-01-20,0.788099,1.268880
1981-01-21,0.783950,1.275590
1981-01-22,0.787920,1.269160
1981-01-23,0.791166,1.263960
1981-01-26,0.794004,1.259440
1981-01-27,0.794622,1.258460
1981-01-28,0.798015,1.253110
1981-01-29,0.799544,1.250710
1981-01-30,0.803745,1.244180
1981-02-02,0.802890,1.245500
1981-02-03,0.809783,1.234900
1981-02-04,0.806234,1.240340
1981-02-05,0.803824,1.244050
1981-02-06,0.807501,1.238390
1981-02-09,0.807223,1.238820
1981-02-10,0.807532,1.238340
1981-02-11,0.808909,1.236230
1981-02-12,0.812295,1.231080
1981-02-13,0.816747,1.224370
1981-02-16,0.826526,1.209880
1981-02-17,0.818237,1.222140
1981-02-18,0.815408,1.226380
1981-02-19,0.815593,1.226100
1981-02-20,0.806464,1.239980
1981-02-23,0.810902,1.233190
1981-02-24,0.810655,1.233570
1981-02-25,0.812042,1.231460
1981-02-26,0.814577,1.227630
1981-02-27,0.817472,1.223280
1981-03-02,0.822519,1.215780
1981-03-03,0.823955,1.213660
1981-03-04,0.815603,1.226090
1981-03-05,0.817801,1.222790
1981-03-06,0.820687,1.218490
1981-03-09,0.818574,1.221640
1981-03-10,0.814223,1.228170
1981-03-11,0.814328,1.228010
1981-03-12,0.814675,1.227480
1981-03-13,0.814837,1.227240
1981-03-16,0.812185,1.231250
1981-03-17,0.809130,1.235900
1981-03-18,0.806108,1.240530
1981-03-19,0.804685,1.242720
1981-03-20,0.808070,1.237520
1981-03-23,0.810921,1.233170
1981-03-24,0.810879,1.233230
1981-03-25,0.810221,1.234230
1981-03-26,0.812581,1.230650
1981-03-27,0.817838,1.222740
1981-03-30,0.816891,1.224150
1981-03-31,0.813986,1.228520
1981-04-01,0.813948,1.228580
1981-04-02,0.814490,1.227760
1981-04-03,0.819739,1.219900
1981-04-06,0.824220,1.213270
1981-04-07,0.823233,1.214720
1981-04-08,0.819335,1.220500
1981-04-09,0.822193,1.216260
1981-04-10,0.823438,1.214420
1981-04-13,0.829355,1.205760
1981-04-14,0.827022,1.209160
1981-04-15,0.828579,1.206890
1981-04-16,0.830699,1.203810
1981-04-17,0.831559,1.202560
1981-04-20,0.831165,1.203130
1981-04-21,0.830970,1.203410
1981-04-22,0.829321,1.205810
1981-04-23,0.827506,1.208450
1981-04-24,0.829003,1.206270
1981-04-27,0.826879,1.209370
1981-04-28,0.829212,1.205960
1981-04-29,0.832652,1.200980
1981-04-30,0.834321,1.198580
1981-05-01,0.834949,1.197680
1981-05-04,0.840201,1.190190
1981-05-05,0.843558,1.185460
1981-05-06,0.841224,1.188740
1981-05-07,0.842234,1.187320
1981-05-08,0.840812,1.189330
1981-05-11,0.844772,1.183750
1981-05-12,0.847690,1.179680
1981-05-13,0.848087,1.179120
1981-05-14,0.853330,1.171880
1981-05-15,0.851245,1.174750
1981-05-18,0.849381,1.177330
1981-05-19,0.849193,1.177590
1981-05-20,0.848956,1.177920
1981-05-21,0.851694,1.174130
1981-05-22,0.853504,1.171640
1981-05-26,0.855483,1.168930
1981-05-27,0.856720,1.167240
1981-05-28,0.855999,1.168230
1981-05-29,0.854589,1.170150
1981-06-01,0.853797,1.171240
1981-06-02,0.859877,1.162960
1981-06-03,0.860555,1.162040
1981-06-04,0.867416,1.152850
1981-06-05,0.874128,1.144000
1981-06-08,0.872405,1.146260
1981-06-09,0.867661,1.152520
1981-06-10,0.865955,1.154800
1981-06-11,0.869337,1.150300
1981-06-12,0.868598,1.151280
1981-06-15,0.862215,1.159800
1981-06-16,0.857537,1.166130
1981-06-17,0.857858,1.165690
1981-06-18,0.861740,1.160440
1981-06-19,0.866538,1.154020
1981-06-22,0.863099,1.158620
1981-06-23,0.860818,1.161690
1981-06-24,0.863685,1.157830
1981-06-25,0.866207,1.154460
1981-06-26,0.869880,1.149580
1981-06-29,0.867150,1.153200
1981-06-30,0.869113,1.150600
1981-07-01,0.873629,1.144650
1981-07-02,0.875255,1.142520
1981-07-03,0.874369,1.143680
1981-07-06,0.879481,1.137030
1981-07-07,0.876990,1.140260
1981-07-08,0.879777,1.136650
1981-07-09,0.880584,1.135610
1981-07-10,0.879192,1.137410
1981-07-13,0.876002,1.141550
1981-07-14,0.881608,1.134290
1981-07-15,0.878484,1.138330
1981-07-16,0.876802,1.140510
1981-07-17,0.878633,1.138130
1981-07-20,0.881329,1.134650
1981-07-21,0.884686,1.130340
1981-07-22,0.883589,1.131750
1981-07-23,0.882664,1.132930
1981-07-24,0.883373,1.132030
1981-07-27,0.880520,1.135690
1981-07-28,0.884133,1.131050
1981-07-29,0.885626,1.129150
1981-07-30,0.888081,1.126020
1981-07-31,0.887128,1.127230
1981-08-03,0.895772,1.116360
1981-08-04,0.897184,1.114600
1981-08-05,0.895251,1.117010
1981-08-06,0.895303,1.116940
1981-08-07,0.897991,1.113600
1981-08-10,0.903987,1.106210
1981-08-11,0.901890,1.108780
1981-08-12,0.896822,1.115050
1981-08-13,0.892978,1.119850
1981-08-14,0.892601,1.120320
1981-08-17,0.894068,1.118480
1981-08-18,0.883404,1.131990
1981-08-19,0.887164,1.127190
1981-08-20,0.884844,1.130140
1981-08-21,0.882241,1.133480
1981-08-24,0.879628,1.136840
1981-08-25,0.889064,1.124780
1981-08-26,0.887548,1.126700
1981-08-27,0.885327,1.129530
1981-08-28,0.885474,1.129340
1981-08-31,0.882840,1.132710
1981-09-01,0.884659,1.130380
1981-09-02,0.881575,1.134330
1981-09-03,0.879918,1.136470
1981-09-04,0.880186,1.136120
1981-09-07,0.882542,1.133090
1981-09-08,0.882527,1.133110
1981-09-09,0.885362,1.129480
1981-09-10,0.883639,1.131680
1981-09-11,0.881851,1.133980
1981-09-14,0.879370,1.137180
1981-09-15,0.873588,1.144710
1981-09-16,0.868569,1.151320
1981-09-17,0.861907,1.160220
1981-09-18,0.863348,1.158280
1981-09-21,0.857302,1.166450
1981-09-22,0.862883,1.158910
1981-09-23,0.863964,1.157460
1981-09-24,0.871992,1.146800
1981-09-25,0.872884,1.145630
1981-09-28,0.878033,1.138910
1981-09-29,0.871667,1.147230
1981-09-30,0.873668,1.144600
1981-10-01,0.873055,1.145400
1981-10-02,0.867700,1.152470
1981-10-05,0.865356,1.155590
1981-10-06,0.861981,1.160120
1981-10-07,0.860824,1.161680
1981-10-08,0.861191,1.161180
1981-10-09,0.854181,1.170710
1981-10-12,0.855232,1.169270
1981-10-13,0.859533,1.163420
1981-10-14,0.862163,1.159870
1981-10-15,0.859969,1.162830
1981-10-16,0.865784,1.155020
1981-10-19,0.866106,1.154590
1981-10-20,0.865345,1.155610
1981-10-21,0.869189,1.150500
1981-10-22,0.871069,1.148020
1981-10-23,0.872221,1.146500
1981-10-26,0.878276,1.138590
1981-10-27,0.876928,1.140340
1981-10-28,0.875360,1.142390
1981-10-29,0.874853,1.143050
1981-10-30,0.868675,1.151180
1981-11-02,0.862346,1.159630
1981-11-03,0.862741,1.159100
1981-11-04,0.858707,1.164540
1981-11-05,0.859626,1.163300
1981-11-06,0.861846,1.160300
1981-11-09,0.856884,1.167020
1981-11-10,0.861649,1.160570
1981-11-11,0.860413,1.162230
1981-11-12,0.858404,1.164950
1981-11-13,0.858072,1.165400
1981-11-16,0.859819,1.163040
1981-11-17,0.859691,1.163210
1981-11-18,0.860422,1.162220
1981-11-19,0.854582,1.170160
1981-11-20,0.857140,1.166670
1981-11-23,0.859332,1.163700
1981-11-24,0.855647,1.168710
1981-11-25,0.853528,1.171610
1981-11-26,0.851805,1.173980
1981-11-27,0.851579,1.174290
1981-11-30,0.846939,1.180720
1981-12-01,0.850073,1.176370
1981-12-02,0.852067,1.173620
1981-12-03,0.853100,1.172200
1981-12-04,0.851088,1.174970
1981-12-07,0.852082,1.173600
1981-12-08,0.855679,1.168660
1981-12-09,0.856527,1.167510
1981-12-10,0.858377,1.164990
1981-12-11,0.860375,1.162280
1981-12-14,0.866192,1.154480
1981-12-15,0.863456,1.158140
1981-12-16,0.860661,1.161900
1981-12-17,0.860776,1.161740
1981-12-18,0.864823,1.156310
1981-12-21,0.864042,1.157350
1981-12-22,0.862069,1.160000
1981-12-23,0.862085,1.159980
1981-12-24,0.863506,1.158070
1981-12-28,0.863157,1.158540
1981-12-29,0.862505,1.159410
1981-12-30,0.860775,1.161740
1981-12-31,0.859135,1.163960
1982-01-04,0.854403,1.170410
1982-01-05,0.858516,1.164800
1982-01-06,0.857753,1.165840
1982-01-07,0.860786,1.161730
1982-01-08,0.860781,1.161740
1982-01-11,0.863212,1.158460
1982-01-12,0.867429,1.152830
1982-01-13,0.865635,1.155220
1982-01-14,0.870246,1.149100
1982-01-15,0.868152,1.151870
1982-01-18,0.869816,1.149670
1982-01-19,0.866176,1.154500
1982-01-20,0.868868,1.150920
1982-01-21,0.869486,1.150110
1982-01-22,0.870200,1.149160
1982-01-25,0.876087,1.141440
1982-01-26,0.876824,1.140480
1982-01-27,0.871257,1.147770
1982-01-28,0.875335,1.142420
1982-01-29,0.871199,1.147840
1982-02-01,0.876720,1.140620
1982-02-02,0.880869,1.135240
1982-02-03,0.878019,1.138930
1982-02-04,0.879123,1.137500
1982-02-05,0.877268,1.139900
1982-02-08,0.879303,1.137270
1982-02-09,0.884291,1.130850
1982-02-10,0.882550,1.133080
1982-02-11,0.881855,1.133970
1982-02-12,0.886135,1.128500
1982-02-15,0.889561,1.124150
1982-02-16,0.889148,1.124670
1982-02-17,0.887110,1.127260
1982-02-18,0.885512,1.129290
1982-02-19,0.879689,1.136770
1982-02-22,0.879466,1.137050
1982-02-23,0.882279,1.133430
1982-02-24,0.882613,1.133000
1982-02-25,0.885334,1.129520
1982-02-26,0.887400,1.126890
1982-03-01,0.887296,1.127020
1982-03-02,0.886187,1.128430
1982-03-03,0.884982,1.129970
1982-03-04,0.885161,1.129740
1982-03-05,0.881397,1.134560
1982-03-08,0.880583,1.135610
1982-03-09,0.885010,1.129930
1982-03-10,0.885816,1.128900
1982-03-11,0.885973,1.128700
1982-03-12,0.889049,1.124800
1982-03-15,0.887592,1.126640
1982-03-16,0.890549,1.122900
1982-03-17,0.890012,1.123580
1982-03-18,0.890428,1.123060
